neighborhood,price_per_person,overall_satisfaction,N,label
ALLEGHENY_WEST,120.79166666666664,4.666666666666667,23,4
BELLA_VISTA,87.40792031098154,3.158333333333333,204,0
BELMONT,69.425,3.25,11,4
BREWERYTOWN,71.78818770226538,1.9431818181818181,142,0
BUSTLETON,55.83333333333333,1.25,19,4
CALLOWHILL,94.73326923076922,3.0172413793103448,143,0
CEDAR_PARK,39.053171091445435,3.22,261,0
CENTER_CITY,110.12702777777777,2.5277777777777777,168,0
CHESTNUT_HILL,69.12347756410257,3.4444444444444446,74,4
CHINATOWN,48.47666666666666,2.984848484848485,101,0
COBBS_CREEK,67.64605734767025,2.03125,42,4
DICKINSON_NARROWS,62.626393110435664,3.227272727272727,125,0
EASTWICK,63.56666666666667,2.142857142857143,18,4
EAST_FALLS,64.49122807017545,2.522222222222222,156,0
EAST_KENSINGTON,58.98442802408319,2.6025641025641026,108,0
EAST_OAK_LANE,113.24358974358975,4.8,20,4
EAST_PARK,193.38888888888889,2.7142857142857144,42,4
EAST_PASSYUNK,81.25367647058825,3.7169811320754715,190,0
EAST_POPLAR,69.16436781609197,3.35,36,4
FAIRMOUNT,144.76411027568923,2.9036144578313254,463,3
FISHTOWN,59.28346785041702,2.963815789473684,477,3
FITLER_SQUARE,145.58653846153848,3.5526315789473686,78,4
FOX_CHASE,57.05494505494505,1.0,16,4
FRANCISVILLE,124.79579483534704,3.1640625,300,3
FRANKFORD,28.500000000000004,3.5833333333333335,19,4
FRANKLINVILLE,74.96875,2.409090909090909,12,4
GARDEN_COURT,45.95437500000001,3.467391304347826,93,0
GERMANTOWN_EAST,86.875,3.75,12,4
GERMANTOWN_MORTON,37.35714285714286,3.75,12,4
GERMANTOWN_PENN_KNOX,36.030701754385966,4.666666666666667,21,4
GERMANTOWN_SOUTHWEST,39.10526315789474,3.0833333333333335,25,4
GERMANTOWN_WESTSIDE,49.830128205128204,2.375,27,4
GERMANTOWN_WEST_CENT,57.004884004884005,2.891891891891892,90,0
GERMANY_HILL,135.20833333333331,5.0,20,4
GIRARD_ESTATES,90.46111111111112,2.875,78,4
GRADUATE_HOSPITAL,106.42041684541694,3.1807909604519775,649,1
GRAYS_FERRY,66.83353510895884,3.0357142857142856,65,4
GREENWICH,57.557575757575755,2.5,14,4
HADDINGTON,58.5,1.125,12,4
HARROWGATE,24.79642857142857,3.4583333333333335,16,4
HARTRANFT,77.10529953917052,2.8,73,4
HAVERFORD_NORTH,102.025,4.0,11,4
HAWTHORNE,120.89836601307191,3.409090909090909,152,0
HOLMESBURG,47.44117647058823,0.5555555555555556,19,4
KINGSESSING,41.005,2.78125,44,4
LAWNDALE,42.34444444444444,0.5,19,4
LOGAN,63.58259803921569,2.8,18,4
LOGAN_SQUARE,145.43941375177067,3.1392405063291138,510,3
LOWER_MOYAMENSING,72.6054794520548,2.838709677419355,100,0
LUDLOW,63.333333333333336,4.4,11,4
MANAYUNK,111.48459595959596,2.793103448275862,148,0
MANTUA,96.52777777777777,2.96875,162,0
MAYFAIR,67.2051282051282,1.0,16,4
MILL_CREEK,53.020833333333336,4.357142857142857,37,4
MOUNT_AIRY_EAST,47.598085585585586,3.435483870967742,93,0
MOUNT_AIRY_WEST,52.79991596638656,3.46875,115,0
NEWBOLD,82.83662818662819,2.9761904761904763,121,0
NORTHERN_LIBERTIES,145.00486641221374,3.095505617977528,367,3
NORTH_CENTRAL,72.62795857988165,1.8559322033898304,197,0
OGONTZ,35.38919413919414,2.25,13,4
OLD_CITY,111.70808378334151,2.756637168141593,352,3
OLD_KENSINGTON,75.64120879120878,2.945945945945946,118,0
OLNEY,66.59147869674185,2.4166666666666665,22,4
OVERBROOK,83.71734693877549,1.0833333333333333,111,0
OXFORD_CIRCLE,58.74999999999999,0.0,16,4
PACKER_PARK,194.32291666666666,0.0,26,4
PASCHALL,21.72222222222222,4.071428571428571,12,4
PASSYUNK_SQUARE,86.23984477769005,3.7426470588235294,232,0
PENNSPORT,88.77389682539683,3.1,100,0
PENNYPACK,151.7891666666667,1.0,12,4
POINT_BREEZE,63.80107192772289,2.7595419847328246,435,3
POWELTON,77.6970319634703,2.673076923076923,79,4
QUEEN_VILLAGE,106.40574424015438,3.125,248,0
RHAWNHURST,50.180555555555564,0.0,14,4
RICHMOND,79.4326105442177,2.6136363636363638,71,4
RITTENHOUSE,136.26399583945644,3.000924214417745,1499,2
RIVERFRONT,138.6260162601626,2.840909090909091,58,4
ROXBOROUGH,88.50464576074332,3.2708333333333335,124,0
SHARSWOOD,387.6269841269841,5.0,31,4
SOCIETY_HILL,133.59866666666667,3.1184210526315788,165,0
SOMERTON,51.958333333333336,0.0,16,4
SOUTHWEST_SCHUYLKILL,83.09863945578232,2.375,26,4
SPRING_GARDEN,157.1256921373201,3.454022988505747,413,3
SPRUCE_HILL,48.09551206784088,2.3773584905660377,399,3
STADIUM_DISTRICT,118.98106060606061,2.875,31,4
STANTON,77.95666666666666,1.25,27,4
TACONY,50.78125,0.6666666666666666,11,4
TIOGA,44.63636363636363,3.8333333333333335,14,4
UNIVERSITY_CITY,82.22806176783813,2.231578947368421,326,3
UPPER_ROXBOROUGH,96.72419354838709,3.230769230769231,43,4
WALNUT_HILL,55.03358208955225,3.1041666666666665,82,4
WASHINGTON_SQUARE,126.95911776105953,3.0637450199203187,703,1
WEST_KENSINGTON,39.42228682170543,3.119047619047619,54,4
WEST_OAK_LANE,49.25,1.6666666666666667,18,4
WEST_PASSYUNK,48.84649122807017,3.5,48,4
WEST_POPLAR,130.17117442482612,2.7285714285714286,120,0
WEST_POWELTON,59.05678013392858,2.7333333333333334,139,0
WHITMAN,63.38645833333334,3.409090909090909,50,4
WISSAHICKON,62.73306010928961,2.6,83,4
WISSAHICKON_PARK,99.54166666666667,0.0,11,4
WISSINOMING,77.89814814814814,0.0,12,4
WOODLAND_TERRACE,66.90277777777777,3.0625,22,4
WYNNEFIELD,97.69791666666664,2.0833333333333335,55,4
WYNNEFIELD_HEIGHTS,131.92210144927535,0.45454545454545453,47,4
YORKTOWN,99.30303030303031,1.7,24,4
